jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
Malcolm Lee,2013,G,96,15,28,10,14,24,20,0.42857142857142855,0.4,0.35714285714285715,0.3333333333333333,0.6,0.2916666666666667,0.10416666666666667,0.14583333333333334,0.25,0.20833333333333334,0.4270833333333333,1.96,22,200
Malik Allen,2010,F-C,130,45,23,9,79,6,13,0.43478260869565216,0.1111111111111111,0.43037974683544306,0.16666666666666666,0.9230769230769231,0.17692307692307693,0.06923076923076923,0.6076923076923076,0.046153846153846156,0.1,0.4461538461538462,2.08,31,255
Malik Beasley,2017,G,83,19,30,6,9,28,10,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.32142857142857145,0.8,0.3614457831325301,0.07228915662650602,0.10843373493975904,0.3373493975903614,0.12048192771084337,0.4939759036144578,1.93,20,187
Malik Beasley,2018,G,211,50,33,39,26,80,33,0.696969696969697,0.3333333333333333,0.34615384615384615,0.35,0.6666666666666666,0.15639810426540285,0.1848341232227488,0.12322274881516587,0.3791469194312796,0.15639810426540285,0.45023696682464454,1.93,21,187
Malik Beasley,2019,G,927,94,150,112,142,426,97,0.7266666666666667,0.38392857142857145,0.4084507042253521,0.4084507042253521,0.8041237113402062,0.16181229773462782,0.12081984897518878,0.15318230852211434,0.459546925566343,0.104638619201726,0.49838187702265374,1.93,22,187
Malik Beasley,2020,G,600,52,90,77,114,253,66,0.6777777777777778,0.2727272727272727,0.37719298245614036,0.4031620553359684,0.8181818181818182,0.15,0.12833333333333333,0.19,0.4216666666666667,0.11,0.4683333333333333,1.93,23,187
Malik Beasley,2021,G,680,37,96,106,104,294,80,0.625,0.4528301886792453,0.3942307692307692,0.391156462585034,0.85,0.1411764705882353,0.15588235294117647,0.15294117647058825,0.4323529411764706,0.11764705882352941,0.48823529411764705,1.93,24,187
Malik Beasley,2022,G,971,85,80,68,139,615,69,0.6125,0.36764705882352944,0.4028776978417266,0.36585365853658536,0.7971014492753623,0.082389289392379,0.07003089598352215,0.1431513903192585,0.6333676622039135,0.07106076210092688,0.42224510813594235,1.93,25,187
Malik Beasley,2023,G,1045,93,30,132,184,628,71,0.7333333333333333,0.5303030303030303,0.3967391304347826,0.34554140127388533,0.7887323943661971,0.028708133971291867,0.12631578947368421,0.17607655502392344,0.600956937799043,0.06794258373205742,0.41913875598086126,1.93,26,187
Malik Beasley,2024,G,798,85,48,85,103,527,35,0.7291666666666666,0.5058823529411764,0.4077669902912621,0.41935483870967744,0.7142857142857143,0.06015037593984962,0.10651629072681704,0.12907268170426064,0.6604010025062657,0.043859649122807015,0.45864661654135336,1.93,27,187
